"","Class1","Class2","Pixels"
"1","Water","Water",113
"2","Water","Built-up",0
"3","Water","Vegetation",0
"4","Water","Cropland",0
"5","Water","Callery",0
"6","Water","Wetland",0
"7","Water","Barren/Sand",2
"8","Built-up","Water",0
"9","Built-up","Built-up",116
"10","Built-up","Vegetation",1
"11","Built-up","Cropland",0
"12","Built-up","Callery",2
"13","Built-up","Wetland",0
"14","Built-up","Barren/Sand",0
"15","Vegetation","Water",0
"16","Vegetation","Built-up",0
"17","Vegetation","Vegetation",113
"18","Vegetation","Cropland",0
"19","Vegetation","Callery",6
"20","Vegetation","Wetland",4
"21","Vegetation","Barren/Sand",0
"22","Cropland","Water",0
"23","Cropland","Built-up",0
"24","Cropland","Vegetation",1
"25","Cropland","Cropland",112
"26","Cropland","Callery",1
"27","Cropland","Wetland",1
"28","Cropland","Barren/Sand",0
"29","Callery","Water",0
"30","Callery","Built-up",3
"31","Callery","Vegetation",7
"32","Callery","Cropland",0
"33","Callery","Callery",108
"34","Callery","Wetland",1
"35","Callery","Barren/Sand",0
"36","Wetland","Water",1
"37","Wetland","Built-up",0
"38","Wetland","Vegetation",10
"39","Wetland","Cropland",2
"40","Wetland","Callery",0
"41","Wetland","Wetland",78
"42","Wetland","Barren/Sand",0
"43","Barren/Sand","Water",0
"44","Barren/Sand","Built-up",10
"45","Barren/Sand","Vegetation",1
"46","Barren/Sand","Cropland",1
"47","Barren/Sand","Callery",0
"48","Barren/Sand","Wetland",0
"49","Barren/Sand","Barren/Sand",31
